AU417139,POINT(139.5 -16.5)
AU417145,POINT(145.5 -16.5)
AU417146,POINT(146.5 -16.5)
AU418122,POINT(122.5 -17.5)
AU418123,POINT(123.5 -17.5)
AU418139,POINT(139.5 -17.5)
AU418140,POINT(140.5 -17.5)
AU418145,POINT(145.5 -17.5)
AU418146,POINT(146.5 -17.5)
AU419121,POINT(121.5 -18.5)
AU419122,POINT(122.5 -18.5)
AU419146,POINT(146.5 -18.5)
AU420118,POINT(118.5 -19.5)
AU420119,POINT(119.5 -19.5)
AU420120,POINT(120.5 -19.5)
AU420146,POINT(146.5 -19.5)
AU420150,POINT(150.5 -19.5)
AU421115,POINT(115.5 -20.5)
AU421116,POINT(116.5 -20.5)
AU421117,POINT(117.5 -20.5)
AU421118,POINT(118.5 -20.5)
AU421119,POINT(119.5 -20.5)
AU421148,POINT(148.5 -20.5)
AU421149,POINT(149.5 -20.5)
AU421150,POINT(150.5 -20.5)
AU422114,POINT(114.5 -21.5)
AU422115,POINT(115.5 -21.5)
AU422116,POINT(116.5 -21.5)
AU422149,POINT(149.5 -21.5)
AU422153,POINT(153.5 -21.5)
AU423114,POINT(114.5 -22.5)
AU423149,POINT(149.49987215 -22.49999535)
AU423150,POINT(150.5 -22.5)
AU424150,POINT(150.5 -23.5)
AU424151,POINT(151.5 -23.5)
AU425113,POINT(113.5 -24.5)
AU425151,POINT(151.5 -24.5)
AU425152,POINT(152.5 -24.5)
AU426113,POINT(113.5 -25.5)
AU426114,POINT(114.50017225 -25.50000235)
AU426152,POINT(152.5 -25.5)
AU426153,POINT(153.5 -25.5)
AU427113,POINT(113.5 -26.5)
AU427114,POINT(114.50017225 -26.5000142)
AU427153,POINT(153.5 -26.5)
AU428153,POINT(153.5 -27.5)
AU429113,POINT(113.5 -28.5)
AU429114,POINT(114.5 -28.5)
AU429153,POINT(153.5 -28.5)
AU429154,POINT(154.5 -28.5)
AU429167,POINT(167.5 -28.5)
AU429168,POINT(168.50001205 -28.4999807)
AU430114,POINT(114.5 -29.5)
AU430153,POINT(153.5 -29.5)
AU430154,POINT(154.5000748 -29.4999926)
AU430167,POINT(167.5 -29.5)
AU430168,POINT(168.4000309 -29.37047545)
AU431114,POINT(114.5 -30.5)
AU431115,POINT(115.5 -30.5)
AU431152,POINT(152.5 -30.5)
AU431153,POINT(153.5 -30.5)
AU432115,POINT(115.5 -31.5)
AU432130,POINT(130.5000187 -31.4999877)
AU432131,POINT(131.49983005 -31.4999877)
AU432132,POINT(132.5 -31.5)
AU432152,POINT(152.5 -31.5)
AU432153,POINT(153.5 -31.5)
AU432158,POINT(158.4998932 -31.4999877)
