AU307152,"POLYGON((152.9997848 -6.000014,152.9997848 -6.9999973,151.9999735 -6.9999973,151.9999735 -6.000014,152.9997848 -6.000014))"
AU307153,"POLYGON((154.0001691 -6.000014,154.0001691 -6.9999973,152.9997848 -6.9999973,152.9997848 -6.000014,154.0001691 -6.000014))"
AU308148,"POLYGON((149 -7,149 -8,148 -8,148 -7,149 -7))"
AU308149,"POLYGON((149.9997778 -6.9999973,149.9997778 -7.9999805,148.9999665 -7.9999805,148.9999665 -6.9999973,149.9997778 -6.9999973))"
AU308150,"POLYGON((151.0001621 -6.9999973,151.0001621 -7.9999805,149.9997778 -7.9999805,149.9997778 -6.9999973,151.0001621 -6.9999973))"
AU308151,"POLYGON((151.9999735 -6.9999973,151.9999735 -7.9999805,151.0001621 -7.9999805,151.0001621 -6.9999973,151.9999735 -6.9999973))"
AU308152,"POLYGON((152.9997848 -6.9999973,152.9997848 -7.9999805,151.9999735 -7.9999805,151.9999735 -6.9999973,152.9997848 -6.9999973))"
AU308154,"POLYGON((154.9999805 -6.9999973,154.9999805 -7.9999805,154.0001691 -7.9999805,154.0001691 -6.9999973,154.9999805 -6.9999973))"
AU309128,"POLYGON((128.9997287 -7.9999805,128.9997287 -9.0000211,127.9999174 -9.0000211,127.9999174 -7.9999805,128.9997287 -7.9999805))"
AU309129,"POLYGON((130.000113 -7.9999805,130.000113 -9.0000211,128.9997287 -9.0000211,128.9997287 -7.9999805,130.000113 -7.9999805))"
AU309130,"POLYGON((130.9999244 -7.9999805,130.9999244 -9.0000211,130.000113 -9.0000211,130.000113 -7.9999805,130.9999244 -7.9999805))"
AU309144,"POLYGON((145 -8,145 -9,144 -9,144 -8,145 -8))"
AU309153,"POLYGON((154.0001691 -7.9999805,154.0001691 -9.0000211,152.9997848 -9.0000211,152.9997848 -7.9999805,154.0001691 -7.9999805))"
AU309154,"POLYGON((154.9999805 -7.9999805,154.9999805 -9.0000211,154.0001691 -9.0000211,154.0001691 -7.9999805,154.9999805 -7.9999805))"
AU310127,"POLYGON((128 -9,128 -10,127 -10,127 -9,128 -9))"
AU310128,"POLYGON((128.9997287 -9.0000211,128.9997287 -10.0000043,127.9999174 -10.0000043,127.9999174 -9.0000211,128.9997287 -9.0000211))"
AU310129,"POLYGON((130 -9,130 -10,129 -10,129 -9,130 -9))"
AU310130,"POLYGON((131 -9,131 -10,130 -10,130 -9,131 -9))"
